Number,Type,Release date/date of original information retrieval,Source,Accessed on,Manufacturer,Product,Hash rate in Mh/s,Power in W,Efficiency in Mh/J,Efficiency in J/MH
1,GPU,3/19/2012,https://www.cryptocompare.com/mining/amd/radeon-hd-7870-ethereum-mining/,5/7/2018,AMD,Radeon HD 7870,10,175,"0,06","17,15686275"
2,GPU,3/22/2012,https://en.wikipedia.org/wiki/GeForce_600_series,5/7/2018,NVIDIA,GeForce GTX 680,15,195,"0,08",13
3,GPU,8/16/2012,https://en.wikipedia.org/wiki/GeForce_600_series,5/7/2018,NVIDIA,GeForce GTX 660 Ti,12,150,"0,08","12,76595745"
4,GPU,10/9/2012,https://en.wikipedia.org/wiki/GeForce_600_series,5/7/2018,NVIDIA,GeForce GTX 650 Ti,10,110,"0,09","10,64859632"
5,GPU,4/1/2013,https://www.cryptocompare.com/mining/amd/radeon-r9-hd-7990-ethereum-mining/,5/7/2018,AMD,Radeon R9 HD 7990,36,375,"0,10","10,41666667"
6,GPU,5/23/2013,https://en.wikipedia.org/wiki/GeForce_700_series,5/7/2018,NVIDIA ,GeForce GTX 780,20,250,"0,08","12,5"
7,GPU,5/30/2013,https://en.wikipedia.org/wiki/GeForce_700_series,5/7/2018,NVIDIA,GeForce GTX 770,15,230,"0,07","15,33333333"
8,GPU,6/25/2013,https://en.wikipedia.org/wiki/GeForce_700_series,5/7/2018,NVIDIA,GeForce GTX 760,15,170,"0,09","11,33333333"
9,GPU,10/24/2013,http://www.sapphiretech.com/page.asp?IDno=5371&lang=eng,5/7/2018,AMD,Sapphire R9 290X,31,290,"0,11","9,508196721"
10,GPU,11/7/2013,https://en.wikipedia.org/wiki/GeForce_700_series,5/7/2018,NVIDIA,GeForce GTX 780 Ti,22,250,"0,09","11,36363636"
11,GPU,12/19/2013,https://www.cryptocompare.com/mining/amd/radeon-r9-290x-tri-x-ethereum-mining/,5/7/2018,AMD,Radeon R9 290x Tri-X,22,290,"0,08","13,18181818"
12,GPU,2/18/2014,https://www.cryptocompare.com/mining/nvidia/nvidia-geforce-gtx-750-ti-ethereum-mining/,5/7/2018,NVIDIA,GeForce GTX 750 Ti ,6,40,"0,15","6,666666667"
