Date,EECI
2017/5/20,2.338303676
2017/5/21,2.331935882
2017/5/22,2.406776469
2017/5/23,2.479115952
2017/5/24,2.558065229
2017/5/25,2.646792663
2017/5/26,2.594668865
2017/5/27,2.405446578
2017/5/28,2.476709775
2017/5/29,2.554141856
2017/5/30,2.640266675
2017/5/31,2.730854387
2017/6/01,2.826686671
2017/6/02,2.907777141
2017/6/03,2.981139609
2017/6/04,3.064259804
2017/6/05,3.144804884
2017/6/06,3.237369948
2017/6/07,3.323433237
2017/6/08,3.413413526
2017/6/09,3.506484564
2017/6/10,3.610107044
2017/6/11,3.723905339
2017/6/12,3.797648629
2017/6/13,3.727929747
2017/6/14,3.72072264
2017/6/15,3.703363615
2017/6/16,3.599742448
2017/6/17,3.741162104
2017/6/18,3.860209623
2017/6/19,3.969327085
2017/6/20,4.093115521
2017/6/21,4.179562149
2017/6/22,4.259887252
2017/6/23,4.275458639
2017/6/24,4.205760974
2017/6/25,4.247844107
2017/6/26,4.280749215
2017/6/27,4.311585014
2017/6/28,4.339531991
2017/6/29,4.402986825
2017/6/30,4.412059266
2017/7/01,4.428560714
2017/7/02,4.470532744
2017/7/03,4.503891803
2017/7/04,4.551541854
2017/7/05,4.603850652
2017/7/06,4.685427549
2017/7/07,4.720315752
2017/7/08,4.751416039
2017/7/09,4.806605585
2017/7/10,4.843731356
2017/7/11,4.859572081
2017/7/12,4.834840314
2017/7/13,4.840132576
2017/7/14,4.833023552
2017/7/15,4.803703789
2017/7/16,4.766715987
2017/7/17,4.749909102
2017/7/18,4.729485189
2017/7/19,4.71051288
2017/7/20,4.703696299
2017/7/21,4.707310941
2017/7/22,4.690474705
2017/7/23,4.676305646
2017/7/24,4.675493445
2017/7/25,4.730304951
2017/7/26,4.744228809
2017/7/27,4.785168591
2017/7/28,4.809768098
2017/7/29,4.830499391
2017/7/30,4.853878435
2017/7/31,4.887976881
2017/8/01,4.919774492
2017/8/02,4.889810866
2017/8/03,4.838633991
2017/8/04,4.84
2017/8/05,4.852393322
2017/8/06,4.796543686
2017/8/07,4.762762796
2017/8/08,4.754496176
2017/8/09,4.731194094
2017/8/10,4.73400001
2017/8/11,4.71080465
2017/8/12,4.69375845
2017/8/13,4.670178915
2017/8/14,4.654739543
2017/8/15,4.700600937
2017/8/16,4.726813895
2017/8/17,4.75
2017/8/18,4.788302893
2017/8/19,4.870241654
2017/8/20,4.907628335
2017/8/21,4.935898541
2017/8/22,4.975164539
2017/8/23,5.007083634
2017/8/24,5.058159453
2017/8/25,5.113268468
2017/8/26,5.112862742
2017/8/27,5.087907653
2017/8/28,5.061299627
2017/8/29,5.031147042
2017/8/30,5.013370788
2017/8/31,4.979932314
2017/9/01,4.958155193
2017/9/02,4.933731895
2017/9/03,4.894696514
2017/9/04,4.859700449
2017/9/05,4.822876904
2017/9/06,4.780234108
2017/9/07,4.731589532
2017/9/08,4.753140801
2017/9/09,4.766265094
2017/9/10,4.785301022
2017/9/11,4.821213995
2017/9/12,4.847920237
2017/9/13,4.88372815
2017/9/14,4.895908541
2017/9/15,4.914029442
2017/9/16,4.939625356
2017/9/17,4.958438618
2017/9/18,4.98333534
2017/9/19,5.014094874
2017/9/20,5.038793163
2017/9/21,5.050993609
2017/9/22,5.076871282
2017/9/23,5.070586932
2017/9/24,5.010829315
2017/9/25,4.949051345
2017/9/26,4.892563486
2017/9/27,4.825291582
2017/9/28,4.771811615
2017/9/29,4.7071922
2017/9/30,4.64124847
2017/10/01,4.573287796
2017/10/02,4.500030942
2017/10/03,4.431361601
2017/10/04,4.35316785
2017/10/05,4.28903336
2017/10/06,4.262728543
2017/10/07,4.27600234
2017/10/08,4.283129579
2017/10/09,4.293989093
2017/10/10,4.3216071
2017/10/11,4.323231099
2017/10/12,4.345141634
2017/10/13,4.363375688
2017/10/14,4.387798417
2017/10/15,4.41267548
2017/10/16,4.428373309
2017/10/17,4.539229036
2017/10/18,4.925077132
2017/10/19,5.326147452
2017/10/20,5.747775742
2017/10/21,6.181089808
2017/10/22,6.581258149
2017/10/23,7.003932795
2017/10/24,7.41899239
2017/10/25,7.830029867
2017/10/26,8.24564261
2017/10/27,8.626154239
2017/10/28,9.076256775
2017/10/29,9.196264139
2017/10/30,9.256343396
2017/10/31,9.335183131
2017/11/01,9.376460489
2017/11/02,9.420172072
2017/11/03,9.437499436
2017/11/04,9.50570088
2017/11/05,9.55304828
2017/11/06,9.603916527
2017/11/07,9.627722556
2017/11/08,9.68362066
2017/11/09,9.763040104
2017/11/10,9.787091113
2017/11/11,9.758460411
2017/11/12,9.885068052
2017/11/13,9.968796755
2017/11/14,9.99448332
2017/11/15,10.05480204
2017/11/16,10.12502153
2017/11/17,10.1757538
2017/11/18,10.24880791
2017/11/19,10.26064465
2017/11/20,10.3342632
2017/11/21,10.3976165
2017/11/22,10.41712191
2017/11/23,10.47289052
2017/11/24,10.58325548
2017/11/25,10.58589521
2017/11/26,10.6449514
2017/11/27,10.72905978
2017/11/28,10.79505542
2017/11/29,10.8508926
2017/11/30,10.88971891
2017/12/01,10.960318
2017/12/02,11.02026887
2017/12/03,11.04700306
2017/12/04,11.07472688
2017/12/05,11.0948165
2017/12/06,11.0649785
2017/12/07,11.0588532
2017/12/08,11.08661474
2017/12/09,11.03072534
2017/12/10,11.10066128
2017/12/11,11.0722814
2017/12/12,11.14006927
2017/12/13,11.17604334
2017/12/16,11.71296608
2017/12/17,11.71296608
2017/12/18,11.72615581
2017/12/19,11.65698144
2017/12/20,11.3498309
2017/12/21,11.05977362
2017/12/22,10.89014858
2017/12/23,10.54625979
2017/12/24,10.20532814
2017/12/25,9.877678088
2017/12/26,9.646253444
2017/12/27,9.467532494
2017/12/28,9.491567634
2017/12/29,9.47857518
2017/12/30,9.505283961
2017/12/31,9.556106503
2018/1/01,9.611465474
2018/1/02,9.699422627
2018/1/03,9.770132925
2018/1/04,9.847217634
2018/1/05,9.948720598
2018/1/06,10.03023899
2018/1/07,10.14506703
2018/1/08,10.26512523
2018/1/09,10.3951382
2018/1/10,10.5325654
2018/1/11,10.65754637
2018/1/12,10.66417223
2018/1/13,10.93421608
2018/1/14,11.09869138
2018/1/15,11.23554505
2018/1/16,11.34572222
2018/1/17,11.44056317
2018/1/18,11.54657811
2018/1/19,11.65224938
2018/1/20,11.76852026
2018/1/21,11.9040206
2018/1/22,12.00701018
2018/1/23,12.10394785
2018/1/24,12.20754205
2018/1/25,12.31499043
2018/1/26,12.42006144
2018/1/27,12.53038947
2018/1/28,12.6830719
2018/1/29,12.78677348
2018/1/30,12.91522121
2018/1/31,13.02664356
2018/2/01,13.13356865
2018/2/02,13.22200823
2018/2/03,13.31125669
2018/2/04,13.43115638
2018/2/05,13.5010371
2018/2/06,13.56581403
2018/2/07,13.64226965
2018/2/08,13.62416041
2018/2/09,13.61035062
2018/2/10,13.59750825
2018/2/11,13.58115139
2018/2/12,13.56870216
2018/2/13,13.6462459
2018/2/14,13.72949145
2018/2/15,13.81674422
2018/2/16,13.93565094
2018/2/17,14.02664845
2018/2/18,14.11366249
2018/2/19,14.20182899
2018/2/20,14.28801547
2018/2/21,14.39921722
2018/2/22,14.47395431
2018/2/23,14.55233331
2018/2/24,14.62870741
2018/2/25,14.70526685
2018/2/26,14.7841738
2018/2/27,14.89911579
2018/2/28,14.97880127
2018/3/01,15.05847528
2018/3/02,15.13726096
2018/3/03,15.21589607
2018/3/04,15.29398377
2018/3/05,15.40724698
2018/3/06,15.48223834
2018/3/07,15.55066227
2018/3/08,15.61451283
2018/3/09,15.67438727
2018/3/10,15.73648994
2018/3/11,15.83416341
2018/3/12,15.89590386
2018/3/13,15.95595502
2018/3/14,16.01024739
2018/3/15,16.06034276
2018/3/16,16.11116912
2018/3/17,16.19497763
2018/3/18,16.23536689
2018/3/19,16.27876968
2018/3/20,16.32279339
2018/3/21,16.36772862
2018/3/22,16.41278838
2018/3/23,16.492128
2018/3/24,16.53311599
2018/3/25,16.57638878
2018/3/26,16.61477511
2018/3/27,16.64925872
2018/3/28,16.68308311
2018/3/29,16.75019284
